,item_title,category
0,"['auto', 'window', 'sun', 'shade', 'sock', 'cover', 'baby', 'child', 'uv', 'protector', 'shield', 'for', 'car', 'suv', 'van']",Adhesives Sealants and Tapes
1,"['epoxy', 'resin', 'oz', 'kit', 'crystal', 'clear', 'for', 'super', 'gloss', 'coating', 'and', 'table', 'tops']",Adhesives Sealants and Tapes
2,"['crystal', 'clear', 'epoxy', 'resin', 'general', 'purpose', 'bar', 'table', 'top', 'coating', 'gallon', 'kit']",Adhesives Sealants and Tapes
3,"['crystal', 'clear', 'epoxy', 'resin', 'general', 'purpose', 'bar', 'table', 'top', 'coating', 'wood', 'gal', 'kit']",Adhesives Sealants and Tapes
4,"['plastic', 'casting', 'resin', 'for', 'casting', 'in', 'silicone', 'rubber', 'molds', 'gallon']",Adhesives Sealants and Tapes
5,"['flex', 'seal', 'clear', 'jumbo', 'can', 'liquid', 'rubber', 'spray', 'sealant', 'coating', 'oz', 'buy', 'direct']",Adhesives Sealants and Tapes
6,"['ultra', 'clear', 'epoxy', 'resin', 'fiberglass', 'table', 'tops', 'high', 'gloss', 'oz', 'kit']",Adhesives Sealants and Tapes
7,"['flex', 'seal', 'black', 'jumbo', 'can', 'liquid', 'rubber', 'spray', 'sealant', 'coating', 'oz', 'buy', 'direct']",Adhesives Sealants and Tapes
8,"['crystal', 'clear', 'bar', 'table', 'top', 'epoxy', 'resin', 'coating', 'for', 'wood', 'tabletop', 'gallon', 'kit']",Adhesives Sealants and Tapes
9,"['ultralow', 'viscosity', 'liquid', 'plastic', 'urethane', 'casting', 'resin', 'gallon']",Adhesives Sealants and Tapes
10,"['ultra', 'clear', 'epoxy', 'resin', 'bar', 'tops', 'table', 'tops', 'wood', 'coating', 'gallon', 'kit']",Adhesives Sealants and Tapes
11,"['fiberfix', 'hi', 'temp', 'heat', 'wrap', 'fiber', 'fix', 'roll', 'up', 'to', 'degrees', 'fiber', 'fix']",Adhesives Sealants and Tapes
12,"['epoxy', 'resin', 'oz', 'kit', 'crystal', 'clear', 'for', 'super', 'gloss', 'coating', 'and', 'table', 'tops']",Adhesives Sealants and Tapes
13,"['plastic', 'acrylic', 'plexiglass', 'cement', 'glue', 'weldon', 'oz', 'can', 'bottle']",Adhesives Sealants and Tapes
14,"['ultra', 'clear', 'epoxy', 'resin', 'bar', 'tops', 'table', 'tops', 'wood', 'coating', 'oz', 'kit']",Adhesives Sealants and Tapes
15,"['tesa', 'thick', 'fleece', 'auto', 'wire', 'harness', 'adhesive', 'electrical', 'tape', 'mm']",Adhesives Sealants and Tapes
16,"['gals', 'table', 'top', 'epoxy', 'resin', 'crystal', 'clear', 'high', 'gloss']",Adhesives Sealants and Tapes
17,"['flex', 'seal', 'liquid', 'liquid', 'rubber', 'sealant', 'coating', 'large', 'oz', 'black']",Adhesives Sealants and Tapes
18,"['black', 'rubber', 'silicone', 'repair', 'waterproof', 'bonding', 'tape', 'rescue', 'self', 'fusing', 'wire', 'ft']",Adhesives Sealants and Tapes
19,"['table', 'top', 'epoxy', 'resin', 'gal', 'kit', 'crystal', 'clear']",Adhesives Sealants and Tapes
20,"['ft', 'vhb', 'double', 'sided', 'foam', 'adhesive', 'tape', 'automotive', 'mounting', 'mm']",Adhesives Sealants and Tapes
21,"['large', 'thermal', 'conductive', 'silicone', 'glue', 'adhesive', 'led', 'gpu', 'heatsink', 'mosfets']",Adhesives Sealants and Tapes
22,"['mm', 'cm', 'kapton', 'tape', 'sticky', 'high', 'temperature', 'heat', 'resistant', 'polyimide']",Adhesives Sealants and Tapes
23,"['flex', 'tape', 'clear', 'super', 'strong', 'rubberized', 'waterproof', 'buy', 'direct']",Adhesives Sealants and Tapes
24,"['epoxy', 'resin', 'for', 'crystal', 'clear', 'coating', 'bar', 'and', 'table', 'top', 'gallon']",Adhesives Sealants and Tapes
25,"['ips', 'weldon', 'solvent', 'plastic', 'plexiglass', 'acrylic', 'glue', 'oz']",Adhesives Sealants and Tapes
26,"['glue', 'adhesive', 'cement', 'fish', 'tank', 'plexiglass', 'acrylic', 'plastic', 'solvent']",Adhesives Sealants and Tapes
27,"['plastic', 'casting', 'resin', 'for', 'resin', 'casting', 'in', 'silicone', 'rubber', 'molds', 'gallons']",Adhesives Sealants and Tapes
28,"['table', 'top', 'bar', 'top', 'epoxy', 'coating', 'gallon', 'kit']",Adhesives Sealants and Tapes
29,"['wire', 'glue', 'electrically', 'conductive', 'glue']",Adhesives Sealants and Tapes
30,"['plexiglass', 'sheet', 'plastic', 'glue', 'oz', 'tube', 'ips', 'weldon', 'acrylic', 'cement']",Adhesives Sealants and Tapes
31,"['polymat', 'hi', 'temp', 'spray', 'adhesive', 'oz', 'can', 'high', 'temperature', 'headliner', 'glue']",Adhesives Sealants and Tapes
32,"['gorilla', 'duct', 'tape', 'yd', 'black']",Adhesives Sealants and Tapes
33,"['smt', 'smd', 'pcb', 'solder', 'paste', 'adhesive', 'glue', 'liquid', 'dispenserdispensing', 'needleôºàpcsôºâ']",Adhesives Sealants and Tapes
34,"['mm', 'ft', 'high', 'temperature', 'heat', 'resistant', 'polyimide', 'kaptontape', 'us', 'ship']",Adhesives Sealants and Tapes
35,"['crystal', 'clear', 'epoxy', 'resin', 'general', 'purpose', 'bar', 'table', 'top', 'coating', 'wood', 'gal', 'kit']",Adhesives Sealants and Tapes
36,"['plastic', 'acrylic', 'plexiglass', 'solvent', 'glue', 'weldon', 'can', 'bottle']",Adhesives Sealants and Tapes
37,"['norland', 'optical', 'adhesive', 'glue', 'uv', 'cure', 'tritium', 'glue', 'noa', 'ml']",Adhesives Sealants and Tapes
38,"['new', 'weld', 'industro', 'large', 'oz', 'weld', 'adhesive', 'usa']",Adhesives Sealants and Tapes
39,"['flex', 'shot', 'white', 'oz', 'thick', 'rubber', 'adhesive', 'sealant', 'caulk', 'bond', 'seal', 'buy', 'direct']",Adhesives Sealants and Tapes
40,"['crystal', 'clear', 'epoxy', 'resin', 'art', 'resin', 'flow', 'art', 'epoxy', 'clearcast', 'pounds']",Adhesives Sealants and Tapes
41,"['ips', 'weldon', 'plastic', 'glue', 'cement', 'for', 'acrylic', 'plexiglass', 'oz', 'tube']",Adhesives Sealants and Tapes
42,"['qty', 'polymat', 'hi', 'temp', 'spray', 'adhesive', 'oz', 'can', 'high', 'temperature', 'headliner', 'glue']",Adhesives Sealants and Tapes
43,"['flex', 'seal', 'liquid', 'liquid', 'rubber', 'sealant', 'coating', 'giant', 'oz', 'white']",Adhesives Sealants and Tapes
44,"['mm', 'cm', 'ft', 'kapton', 'tape', 'high', 'temperature', 'heat', 'resistant', 'polyimide']",Adhesives Sealants and Tapes
45,"['mmxm', 'emi', 'copper', 'foil', 'shielding', 'tape', 'conductive', 'self', 'adhesive', 'heat', 'insulation']",Adhesives Sealants and Tapes
46,"['black', 'super', 'weatherstrip', 'and', 'gasket', 'adhesive', 'fl', 'oz']",Adhesives Sealants and Tapes
47,"['new', 'devcon', 'bath', 'tub', 'shower', 'epoxy', 'fiberglass', 'repair', 'kit', 'white', 'almond']",Adhesives Sealants and Tapes
48,"['polymat', 'hightemp', 'adhesive', 'automotive', 'vehicle', 'car', 'headliner', 'glue']",Adhesives Sealants and Tapes
49,"['mmxm', 'automotive', 'acrylic', 'plus', 'double', 'sided', 'attachment', 'tape', 'car', 'auto', 'truck', 'us']",Adhesives Sealants and Tapes
50,"['loctite', 'medium', 'strength', 'threadlocker', 'ml', 'free', 'shipping']",Adhesives Sealants and Tapes
51,"['loctite', 'medium', 'strength', 'threadlocker', 'ml', 'free', 'shipping']",Adhesives Sealants and Tapes
52,"['ultra', 'clear', 'epoxy', 'resin', 'bar', 'tops', 'table', 'tops', 'encapsulating', 'more', 'oz', 'kit']",Adhesives Sealants and Tapes
53,"['ft', 'vhb', 'double', 'sided', 'foam', 'adhesive', 'tape', 'automotive', 'mounting']",Adhesives Sealants and Tapes
54,"['copper', 'foil', 'tape', 'ft', 'emi', 'conductive', 'adhesive', 'ship', 'from', 'usa']",Adhesives Sealants and Tapes
55,"['silver', 'conductive', 'ml', 'glue', 'wire', 'electrically', 'paste', 'adhesive', 'paint', 'pcb', 'repair']",Adhesives Sealants and Tapes
56,"['pcs', 'black', 'electrical', 'temflex', 'vinyl', 'tape', 'ft', 'free', 'shipping']",Adhesives Sealants and Tapes
